Transaction_ID,Transaction_Date,Revenue,Expenses,Profit,Category,Region,Department,Product_Line,Customer_Segment,Payment_Method,Discount
TXN0001,02-05-2023,42532,18537,23995,R&D,Europe,HR,Software,SMB,Cash,9%
TXN0002,09-08-2022,10349,25295,-14946,Operations,Europe,IT,Furniture,B2B,Bank Transfer,22%
TXN0003,31-12-2022,21977,10934,11043,R&D,North America,IT,Electronics,B2B,Cash,25%
TXN0004,03-03-2023,45628,5035,40593,Sales,South America,Operations,Healthcare,B2C,Credit Card,4%
TXN0005,08-08-2022,33779,10904,22875,Marketing,Africa,HR,Healthcare,SMB,Cash,13%
TXN0006,14-06-2022,17652,8690,8962,R&D,Africa,Operations,Software,Enterprise,Credit Card,17%
TXN0007,27-01-2023,28372,28474,-102,R&D,Asia-Pacific,Sales,Clothing,B2C,Cash,19%
TXN0008,20-04-2023,40292,27312,12980,Marketing,Africa,IT,Healthcare,Enterprise,Credit Card,1%
TXN0009,31-12-2023,32812,9030,23782,R&D,Asia-Pacific,HR,Furniture,B2B,Cash,10%
TXN0010,05-05-2022,29218,7453,21765,Operations,Africa,Finance,Electronics,B2C,Bank Transfer,2%
TXN0011,28-12-2023,9475,14273,-4798,Sales,Africa,Operations,Healthcare,B2B,Cash,9%
TXN0012,17-10-2022,35566,12635,22931,R&D,Africa,Operations,Clothing,Enterprise,Bank Transfer,22%
TXN0013,04-03-2023,32433,27709,4724,Operations,Africa,HR,Software,SMB,Cash,2%
TXN0014,26-05-2022,15800,8136,7664,R&D,Europe,Operations,Healthcare,SMB,Cash,2%
TXN0015,29-04-2023,32457,29679,2778,R&D,Africa,IT,Healthcare,B2C,PayPal,8%
TXN0016,23-07-2023,29315,4367,24948,Sales,Europe,IT,Furniture,SMB,Cash,11%
TXN0017,20-05-2023,19157,24763,-5606,R&D,Africa,Sales,Healthcare,B2B,Cash,25%
TXN0018,18-10-2023,24454,20187,4267,R&D,Africa,IT,Electronics,B2B,Cash,28%
TXN0019,21-10-2023,49217,27085,22132,R&D,South America,HR,Healthcare,B2B,Credit Card,27%
TXN0020,14-08-2023,24347,10383,13964,Sales,North America,IT,Healthcare,SMB,Cash,6%
TXN0021,13-09-2023,44201,18584,25617,R&D,Africa,IT,Clothing,SMB,Cash,9%
TXN0022,23-12-2022,14561,6544,8017,R&D,Africa,Marketing,Software,B2C,Cash,24%
TXN0023,04-12-2022,34223,24176,10047,Sales,Europe,IT,Healthcare,B2B,Bank Transfer,28%
TXN0024,22-05-2022,19653,10682,8971,Operations,Asia-Pacific,IT,Healthcare,SMB,Credit Card,17%
TXN0025,13-10-2022,31752,17942,13810,R&D,North America,Marketing,Healthcare,B2C,Cash,21%
TXN0026,09-10-2023,13960,17044,-3084,Sales,Africa,IT,Furniture,B2B,Cash,22%
TXN0027,18-08-2023,49044,16900,32144,R&D,Africa,Marketing,Software,B2C,Cash,2%
TXN0028,08-12-2022,33476,28521,4955,R&D,Africa,IT,Healthcare,B2B,Credit Card,0%
TXN0029,18-04-2023,41389,4568,36821,R&D,Africa,IT,Clothing,SMB,Cash,13%
TXN0030,24-04-2022,40707,5700,35007,R&D,Africa,Marketing,Healthcare,B2B,Cash,12%
TXN0031,13-08-2023,7284,28494,-21210,HR,Europe,IT,Electronics,B2B,Cash,11%
TXN0032,20-03-2022,31751,6031,25720,Operations,Europe,Sales,Healthcare,SMB,Cash,25%
TXN0033,02-01-2022,41437,25843,15594,Operations,Europe,IT,Healthcare,B2B,Credit Card,11%
TXN0034,02-01-2022,9846,28485,-18639,R&D,Africa,IT,Software,SMB,Credit Card,23%
TXN0035,31-01-2023,32102,15661,16441,R&D,Africa,IT,Clothing,Enterprise,PayPal,4%
TXN0036,17-03-2023,15703,21762,-6059,Marketing,Europe,HR,Furniture,SMB,Credit Card,14%
TXN0037,05-02-2022,20643,21956,-1313,Marketing,Africa,IT,Healthcare,Enterprise,Cash,16%
TXN0038,22-02-2023,15515,18387,-2872,HR,South America,Operations,Clothing,B2B,Cash,12%
TXN0039,10-05-2023,46870,5050,41820,R&D,North America,HR,Software,B2B,Credit Card,5%
TXN0040,02-06-2023,32968,27967,5001,Sales,Asia-Pacific,HR,Electronics,SMB,Credit Card,20%
TXN0041,10-06-2023,42721,12998,29723,R&D,Europe,IT,Clothing,SMB,PayPal,10%
TXN0042,27-02-2023,28936,7014,21922,R&D,Africa,Sales,Furniture,B2B,Cash,5%
TXN0043,24-11-2023,8285,16839,-8554,Marketing,Asia-Pacific,HR,Electronics,SMB,Cash,16%
